objective,num_leaves,n_estimators,max_depth,learning_rate,feature_fraction,mean_score,std_score
mape,650,1300,5,0.04,0.7,0.8712742302522294,0.007616337097769731
rmse,1350,200,12,0.03,0.7,0.9038162423219422,0.0044138296792529085
mape,250,850,6,0.028,0.5,0.8761531368523692,0.006571423151100215
mape,250,1150,-1,0.036,0.6,0.9022067359517112,0.005277960471739114
mae,100,1250,10,0.01,0.3,0.888349988567897,0.004948172910664938
mae,600,300,9,0.016,0.7,0.8846789926957481,0.005013103676929902
mape,100,1350,6,0.038,0.1,0.863598898130185,0.0055921114797638964
rmse,1200,850,6,0.048,0.2,0.8964474318761064,0.003057373931922438
mae,1200,800,11,0.012,0.5,0.8949303729695891,0.004964445221744546
rmse,450,250,12,0.018,0.6,0.9003478223163227,0.004563846497119509
mape,150,850,8,0.034,0.2,0.8773487612851956,0.00559685555882489
rmse,950,1250,10,0.004,0.8,0.8990061654947051,0.0049538297308475265
mape,700,500,11,0.008,0.2,0.8509349275623156,0.0034731529829599766
mae,1450,1450,3,0.008,0.2,0.8084633630917055,0.004556641782478903
rmse,1450,550,8,0.034,0.6,0.907364420383902,0.003794987787121666
mae,1050,800,9,0.012,0.1,0.8460400894321287,0.004195566200497469
mape,600,600,5,0.024,0.6,0.866216230111933,0.007254456533509078
mae,300,1450,9,0.02,0.6,0.8936662256418484,0.005618947547264555
mape,1350,600,4,0.028,0.8,0.8573689253740545,0.008028479316053624
mape,350,1400,5,0.01,0.8,0.8653477569122043,0.007326182103247708
rmse,450,350,-1,0.022,0.8,0.9095016866455562,0.003828296797319018
rmse,650,750,11,0.034,0.9,0.9097967682909037,0.004398348453158233
mape,600,100,11,0.04,0.2,0.8488636355684198,0.004350132565299272
